ticker,name,start_date,end_date,add_reason,remove_reason,source,cik
MRNA,Moderna Inc,2020-07-20,2024-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MRVL,Marvell Technology,2003-12-22,2012-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0001835632
MRVL,Marvell Technology,2020-12-21,,Annual Re-ranking,,fmp:nasdaq100,0001835632
MSFT,Microsoft,1986-03-12,,Annual Re-ranking,,fmp:nasdaq100,0000789019
MSTR,MicroStrategy Inc.,2024-12-22,,Annual Re-ranking,,fmp:nasdaq100,0001050446
MTCH,"Match Group, Inc",2020-12-21,2022-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MU,Micron Technology,2010-12-20,,Annual Re-ranking,,fmp:nasdaq100,0000723125
MWW,Monster Worldwide Inc,2005-12-19,2008-11-10,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MXIM,Maxim Integrated Products Inc,1995-12-18,2007-10-02,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MXIM,Maxim Integrated Products Inc,2008-12-22,2014-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
MXIM,Maxim Integrated Products Inc,2015-12-21,2021-08-26,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NAN,,1985-01-29,2026-07-06,,"SpaceX was added to the index on an accelerated basis, due to updated rules aimed at incorporating newly public megacap companies at a faster pace.",fmp:nasdaq100,
NBIS,Nebius Group N.V.,2026-06-22,,Quarterly rebalance,,fmp:nasdaq100,0001513845
NCLH,Norwegian Cruise Line Holdings Ltd,2015-12-21,2017-12-08,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NFLX,Netflix,2010-12-20,2012-12-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0001065280
NFLX,Netflix,2013-06-06,,Annual Re-ranking,,fmp:nasdaq100,0001065280
NIHD,NII Holdings Inc,2005-12-19,2011-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NLOK,NortonLifeLock Inc,2001-12-24,2019-12-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NTAP,NetApp Inc,1999-12-20,2016-12-09,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NTAP,NetApp Inc,2018-12-24,2020-08-24,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NTES,NetEase Inc,2016-03-16,2022-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NUAN,Nuance Comm's Inc,2011-12-19,2013-12-23,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NVDA,Nvidia,2001-05-31,2004-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0001045810
NVDA,Nvidia,2005-12-19,,Annual Re-ranking,,fmp:nasdaq100,0001045810
NVLS,Novellus Systems Inc.,2001-03-13,2005-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
NXPI,NXP Semiconductors,2013-12-23,2017-02-07,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,0001413447
NXPI,NXP Semiconductors,2018-11-05,,Annual Re-ranking,,fmp:nasdaq100,0001413447
NXTL,Nextel Communications Inc,1985-01-29,2005-08-15,,Annual Re-ranking,fmp:nasdaq100,
ODFL,Old Dominion Freight Line,2022-01-24,,Annual Re-ranking,,fmp:nasdaq100,0000878927
OKTA,Okta Inc,2020-12-21,2022-11-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
ON,ON Semiconductor Corp,2023-06-20,2025-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
ORCL,Oracle Corp,1985-01-29,2013-07-15,,Annual Re-ranking,fmp:nasdaq100,
ORLY,O'Reilly Automotive,2008-12-22,,Annual Re-ranking,,fmp:nasdaq100,0000898173
PANW,Palo Alto Networks,2021-12-20,,Annual Re-ranking,,fmp:nasdaq100,0001327567
PAYX,Paychex,1993-12-31,,Annual Re-ranking,,fmp:nasdaq100,0000723531
PCAR,Paccar,1985-01-30,,Annual Re-ranking,,fmp:nasdaq100,0000075362
PDCO,Patterson Companies,2002-12-16,2010-12-20,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PDD,PDD Holdings,2020-08-24,,Annual Re-ranking,,fmp:nasdaq100,0001737806
PEP,PepsiCo,2018-07-23,,Annual Re-ranking,,fmp:nasdaq100,0000077476
PETM,PetSmart Inc,2002-12-23,2008-12-22,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PIXR,Pixar Inc,2002-12-23,2006-05-08,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PLTR,Palantir Technologies,2024-12-22,,Annual Re-ranking,,fmp:nasdaq100,0001321655
PPDI,Pharmaceutical Product Development,2008-12-22,2009-12-21,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
PRDO,Perdoceo Education Corp,2003-12-22,2005-12-19,Annual Re-ranking,Annual Re-ranking,fmp:nasdaq100,
